
double shift            查找最近打开的文件

ctrl F4                 关闭当前
ctrl D                  复制行
ctrl F                  查找
ctrl G                  查找行
ctrl N                  全局查找类
ctrl Q                  查看方法说明
ctrl R                  查找并替换
ctrl X                  删除行或选中内容
ctrl alt L              格式化代码
ctrl alt M              重构方法
ctrl alt O              优化导入的包
ctrl alt T              包围代码块
ctrl shift F            全局查找文本
ctrl shift N            全局查找文件
ctrl shift U
ctrl shift Z            恢复操作
ctrl shift UP/DOWN      上下移动行

